date_time_initial_value_yyyy_mm_dd_hh_mm_ss,ec_2_mean_s_1m_1,swc_2_mean_m_3m_3,ts_2_mean_c,plot,location,comment_number,fn2o_dry_lin_nmol_1m_2s_1,fn2o_dry_nmol_1m_2s_1,fn2o_dry_r2_number,fn2o_dry_lin_r2_number,collar_height_cm,date,growing_season,treatment,selected_flux,flux_g_n_ha_day
2023/06/19 09:52:10,0.03603,0.29543,25.2625,15,i,NA,0.73346,0.74334,0.99654,0.99654,2,2023-06-19,2023,Sorghum,0.74334,17.991487373184
2023/06/19 09:56:03,0.0355,0.299,26.04,15,r,NA,1.16462,1.16462,0.99773,0.99773,2,2023-06-19,2023,Sorghum,1.16462,28.187970544512005
2023/06/19 10:00:50,0.0362,0.2339,26.505,14,i,NA,8.36466,8.36466,0.99968,0.99968,2,2023-06-19,2023,Corn,8.36466,202.454697407616
2023/06/19 10:04:01,0.04305,0.2719,27.035,14,r,NA,0.79202,0.79202,0.99594,0.99594,2,2023-06-19,2023,Corn,0.79202,19.169717530752
2023/06/19 10:08:50,0.03054,0.23218,28.07917,13,i,NA,0.81318,0.85229,0.9975,0.99741,2,2023-06-19,2023,Sorghum + Rye,0.85229,20.628467152704
2023/06/19 10:12:05,0.03598,0.27602,29.04,13,r,NA,0.30639,0.32849,0.98257,0.98232,2,2023-06-19,2023,Sorghum + Rye,0.32849,7.950633205824
2023/06/19 10:16:30,0.02492,0.18542,29.405,12,i,NA,0.38706,0.43324,0.98961,0.98879,2,2023-06-19,2023,Sorghum + Rye,0.43324,10.485957959424
2023/06/19 10:19:41,0.03672,0.27715,29.5,12,r,NA,0.77865,0.87482,0.99552,0.99482,2,2023-06-19,2023,Sorghum + Rye,0.87482,21.173773756032
2023/06/19 10:25:00,0.04113,0.292,28.79,11,i,NA,14.71657,15.09398,0.99925,0.99923,2,2023-06-19,2023,Corn,15.09398,365.328316222848
2023/06/19 10:28:39,0.04477,0.31317,28.07,11,r,NA,1.76047,1.78698,0.99957,0.99956,2,2023-06-19,2023,Corn,1.78698,43.251309099648
2023/06/19 10:33:00,0.04193,0.27264,28.81833,6,i,NA,0.14113,0.17037,0.89027,0.88693,2,2023-06-19,2023,Soy,0.17037,4.123563515712
2023/06/19 10:36:16,0.04542,0.29145,29.8,6,r,NA,0.34697,0.39458,0.98374,0.98275,2,2023-06-19,2023,Soy,0.39458,9.550247649408
2023/06/19 10:42:46,0.0269,0.23348,30.1375,7,i,NA,0.98823,0.98823,0.99738,0.99738,2,2023-06-19,2023,Sorghum + Rye,0.98823,23.918701491648
2023/06/19 10:46:36,0.033,0.28747,31.6225,7,r,NA,1.46137,1.51349,0.99906,0.99902,2,2023-06-19,2023,Sorghum + Rye,1.51349,36.631872661824
2023/06/19 10:51:20,0.10172,0.34576,31.1,8,i,NA,1.3887100000000001,1.44947,0.99767,0.9976,2,2023-06-19,2023,Corn,1.44947,35.082359623872
2023/06/19 10:54:38,0.10324,0.35383,31.1,8,r,NA,1.11048,1.11048,0.99862,0.99862,2,2023-06-19,2023,Corn,1.11048,26.877588853247996
2023/06/19 10:59:40,0.05137,0.2734,31.025,9,i,NA,0.81948,0.91187,0.99761,0.99706,2,2023-06-19,2023,Sorghum + Rye,0.91187,22.070516306112
2023/06/19 11:02:52,0.06613,0.3572,32.04667,9,r,NA,2.04418,2.06936,0.99955,0.99955,2,2023-06-19,2023,Sorghum + Rye,2.06936,50.085915342336
2023/06/19 11:07:40,0.0493,0.25893,32.23667,10,i,NA,1.82644,1.93993,0.99947,0.99931,2,2023-06-19,2023,Soy,1.93993,46.953246293568
2023/06/19 11:10:50,0.06414,0.34329,32.7,10,r,NA,0.9297,0.9297,0.99863,0.99863,2,2023-06-19,2023,Soy,0.9297,22.50206609472
2023/06/19 11:15:46,0.02632,0.16937,32.195,5,i,NA,0.33292,0.42452,0.98644,0.98346,2,2023-06-19,2023,Sorghum,0.42452,10.274902762752
2023/06/19 11:18:57,0.03191,0.21137,32.4,5,r,NA,0.42668,0.42668,0.99305,0.99305,2,2023-06-19,2023,Sorghum,0.42668,10.327182490368
2023/06/19 11:22:50,0.027,0.1993,31.96,4,i,NA,0.21025,0.24544,0.96372,0.9623,2,2023-06-19,2023,Soy,0.24544,5.940526086144
2023/06/19 11:26:00,0.028,0.23482,31.4175,4,r,NA,0.31878,0.39717,0.98307,0.97857,2,2023-06-19,2023,Soy,0.39717,9.612934915392
2023/06/19 11:30:10,0.05398,0.28975,31.4,3,i,NA,1.87684,1.93657,0.99929,0.99926,2,2023-06-19,2023,Sorghum,1.93657,46.87192227283201
2023/06/19 11:33:27,0.0545,0.29483,31.4,3,r,NA,5.06725,5.15351,0.99982,0.99981,2,2023-06-19,2023,Sorghum,5.15351,124.733379197376
2023/06/19 11:37:22,0.06412,0.3267,31.36333,2,i,NA,0.58911,0.6668,0.99395,0.99317,2,2023-06-19,2023,Sorghum,0.6668,16.13894554368
2023/06/19 11:40:39,0.0665,0.32803,32.63,2,r,NA,0.64336,0.71776,0.99638,0.9957,2,2023-06-19,2023,Sorghum,0.71776,17.372359858175997
2023/06/19 11:45:30,0.06237,0.34018,31.82667,1,i,NA,4.03477,4.03477,0.99377,0.99377,2,2023-06-19,2023,Corn,4.03477,97.65586879315198
2023/06/19 11:48:39,0.06323,0.34483,31.47,1,r,NA,0.69673,0.69673,0.99671,0.99671,2,2023-06-19,2023,Corn,0.69673,16.863358621248
2023/06/16 09:28:11,0.02167,0.16367,20.73333,15,I,NA,0.04398,0.05307,0.25325,0.25275,2,2023-06-16,2023,Sorghum,0.05307,1.284483863232
2023/06/16 09:32:11,0.021,0.165,21.33333,15,R,Last one was I not R,0.06118,0.07617,0.34822,0.35595,2,2023-06-16,2023,Sorghum,0.06118,1.4807748775680003
2023/06/16 09:46:28,0.004,0.039,22.895,11,R,Last one was I not R,0.1457,0.17177,0.81835,0.81386,2,2023-06-16,2023,Corn,0.17177,4.1574485243520005
2023/06/16 09:49:56,0.009,0.08846,23.6875,11,I,Last one was I not R,1.20551,1.2667,0.99933,0.9992,2,2023-06-16,2023,Corn,1.2667,30.65867174592
2023/06/16 09:58:34,0.024,0.17095,24.9,06,I,Last one was I not R,0.01932,0.01149,0.01536,0.04926,2,2023-06-16,NA,NA,0.01932,0.46761311923200005
2023/06/16 10:01:44,0.024,0.1725,25,06,R,Last one was I not R,0.02859,0.042659999999999997,0.10938,0.1098,2,2023-06-16,NA,NA,0.02859,0.691980283584
2023/06/16 10:09:12,0.03214,0.20368,24.0025,08,I,Last one was I not R,0.05447,0.11881,0.46492,0.44128,2,2023-06-16,NA,NA,0.11881,2.875627054656
2023/06/16 10:12:24,0.03894,0.24017,24.5325,08,R,Last one was I not R,0.07128,0.07102,0.53645,0.54476,2,2023-06-16,NA,NA,0.07128,1.725231011328
2023/06/16 10:17:31,0.012,0.112,24.55,10,I,Last one was I not R,0.09376,0.12428,0.6828,0.68753,2,2023-06-16,2023,Soy,0.09376,2.2693274357760003
2023/06/16 10:20:43,0.012,0.113,25.1,10,R,Last one was I not R,0.1439,0.16548,0.79535,0.79423,2,2023-06-16,2023,Soy,0.16548,4.0052080212479995
2023/06/16 10:26:07,0.0103,0.0996,25.49,04,I,Last one was I not R,0.02386,0.02386,0.11786,0.11786,2,2023-06-16,NA,NA,0.02386,0.577497361536
2023/06/16 10:29:37,0.013,0.12465,26.71,04,R,Last one was I not R,0.08427,0.10522,0.618,0.6203,2,2023-06-16,NA,NA,0.08427,2.039635484352
2023/06/16 10:35:06,0.00892,0.08392,26.4,01,I,Last one was I not R,0.1463,0.4989,0.83255,0.75677,2,2023-06-16,NA,NA,0.4989,12.07516486464
2023/06/16 10:38:22,0.011,0.10577,26.7,01,R,Last one was I not R,0.08657,0.08657,0.92165,0.92165,2,2023-06-16,NA,NA,0.08657,2.095303712832
